ID,Name,Start Date,Forecast Hour,Class
2106,In-fa,2021072500,72,TY
2315,BOLAVEN,2023100818,72,Super TY
2023,Krovanh,2020121812,72,TS
2008,Bavi,2020082218,72,STY
2106,In-fa,2021071812,72,STY
2107,Cempaka,2021071818,72,TY
2311,HAIKUI,2023090112,72,STY
2103,Choi-wan,2021060118,72,TS
2102,Surigae,2021041712,72,Super TY
2314,KOINU,2023092912,72,Super TY
2102,Surigae,2021041718,72,Super TY
2102,Surigae,2021041518,72,Super TY
2214,Nanmadol,2022091300,72,STY
2201,Malakas,2022040918,72,TY
2306,KHANUN,2023080712,72,STS
2306,KHANUN,2023080500,72,STS
2310,DAMREY,2023082306,72,TS
2311,HAIKUI,2023090100,72,STY
2311,HAIKUI,2023083100,72,STY
2106,In-fa,2021072518,72,STS
2302,MAWAR,2023052000,72,Super TY
2109,Lupit,2021080418,72,TS
2102,Surigae,2021041800,72,Super TY
2114,Chanthu,2021091500,72,STS
2108,Nepartak,2021072706,72,TS
2212,Muifa,2022091218,72,STY
2119,Namtheun,2021100900,72,TS
2305,DOKSURI,2023072612,72,Super TY
2315,BOLAVEN,2023100812,72,Super TY
2302,MAWAR,2023052712,72,Super TY
2121,Nyatoh,2021120100,72,Super TY
2311,HAIKUI,2023090612,72,TS
2304,TALIM,2023071406,72,TY
2311,HAIKUI,2023090606,72,TS
2108,Nepartak,2021072412,72,TS
2020,Atsani,2020103106,72,TS
2015,Linfa,2020100812,72,TS
2107,Cempaka,2021071718,72,TY
2309,SAOLA,2023082706,72,Super TY
2311,HAIKUI,2023090200,72,STY
2222,Nalgae,2022102706,72,STS
2014,Chan-hom,2020100712,72,TY
2106,In-fa,2021072318,72,TY
2306,KHANUN,2023080606,72,STS
2220,Nesat,2022101506,72,STY
2314,KOINU,2023100100,72,Super TY
2008,Bavi,2020082106,72,TY
2107,Cempaka,2021072006,72,TY
2302,MAWAR,2023052618,72,Super TY
2008,Bavi,2020082406,72,STY
2309,SAOLA,2023082918,72,Super TY
2312,KIROGI,2023083000,72,STS
2302,MAWAR,2023052806,72,Super TY
2001,Vongfong,2020051212,72,STY
2306,KHANUN,2023072806,72,Super TY
2307,LAN,2023080812,72,Super TY
2111,Nida,2021080418,72,STS
2010,Haishen,2020090418,72,Super TY
2214,Nanmadol,2022091612,72,Super TY
2008,Bavi,2020082118,72,TY
2211,Hinnamnor,2022090206,72,Super TY
2111,Nida,2021080318,72,STS
2106,In-fa,2021071700,72,STS
2116,Mindulle,2021092806,72,Super TY
2106,In-fa,2021072618,72,TS
2314,KOINU,2023100618,72,STY
2306,KHANUN,2023072912,72,Super TY
2309,SAOLA,2023082612,72,Super TY
2105,Champi,2021062112,72,TS
2008,Bavi,2020082312,72,STY
2304,TALIM,2023071518,72,TY
2105,Champi,2021062318,72,TY
2308,DORA,2023081706,72,TS
2214,Nanmadol,2022091306,72,Super TY
2119,Namtheun,2021101012,72,TS
2306,KHANUN,2023073112,72,Super TY
2119,Namtheun,2021101018,72,TS
2314,KOINU,2023100312,72,Super TY
2314,KOINU,2023100512,72,STY
2118,Kompasu,2021101000,72,TY
2315,BOLAVEN,2023101112,72,Super TY
2212,Muifa,2022091206,72,STY
2312,KIROGI,2023090118,72,TS
2209,Ma-on,2022082112,72,TY
2222,Nalgae,2022102800,72,STS
2110,Mirinae,2021080506,72,TS
2114,Chanthu,2021091412,72,STS
2106,In-fa,2021072206,72,STY
2114,Chanthu,2021090700,72,Super TY
2212,Muifa,2022091106,72,STY
2214,Nanmadol,2022091600,72,Super TY
2102,Surigae,2021041618,72,Super TY
2307,LAN,2023080800,72,Super TY
2304,TALIM,2023071312,72,STS
2106,In-fa,2021072018,72,STY
2303,GUCHOL,2023060818,72,STY
2019,Goni,2020102706,72,Super TY
2211,Hinnamnor,2022090306,72,Super TY
2008,Bavi,2020082400,72,STY
2216,Noru,2022092606,72,Super TY
2114,Chanthu,2021091112,72,Super TY
2114,Chanthu,2021091506,72,STS
2301,SANVU,2023041912,72,TS
2204,Aere,2022063000,72,TS
2101,Dujuan,2021021912,72,TS
2018,Molave,2020102518,72,STY
2118,Kompasu,2021100806,72,TS
2307,LAN,2023081306,72,TY
2213,Merbok,2022091100,72,TY
2201,Malakas,2022041112,72,Super TY
2314,KOINU,2023092918,72,Super TY
2019,Goni,2020110118,72,STS
2102,Surigae,2021042112,72,STY
2312,KIROGI,2023083100,72,STS
2308,DORA,2023081618,72,TS
2010,Haishen,2020090200,72,Super TY
2009,Maysak,2020082900,72,Super TY
2205,Songda,2022072806,72,TS
2122,Rai,2021121206,72,TY
2306,KHANUN,2023072900,72,Super TY
2106,In-fa,2021072506,72,TY
2118,Kompasu,2021100906,72,STS
2302,MAWAR,2023052600,72,Super TY
2310,DAMREY,2023082512,72,STS
2022,Vamco,2020110800,72,TY
2114,Chanthu,2021091312,72,STY
2309,SAOLA,2023083100,72,Super TY
2306,KHANUN,2023080200,72,Super TY
2117,Lionrock,2021100612,72,TS
2022,Vamco,2020111100,72,STY
2020,Atsani,2020102900,72,TS
2019,Goni,2020110200,72,TS
2115,Dianmu,2021092218,72,TS
2203,Chaba,2022063012,72,TY
2305,DOKSURI,2023072718,72,Super TY
2312,KIROGI,2023083106,72,STS
2312,KIROGI,2023090306,72,TS
